transaction_id,account_id,transaction_date,transaction_type,amount,balance_after,merchant_category,is_international,card_present,risk_score
TXN00000001,ACC000889,2024-08-20,TRANSFER,76.37,17209.15,Utilities,0,1,85.28
TXN00000002,ACC000993,2024-11-20,WITHDRAWAL,16.5,38688.1,Entertainment,0,0,22.01
TXN00000003,ACC000817,2024-11-19,TRANSFER,97.59,28565.85,Utilities,1,1,18.02
TXN00000004,ACC000801,2024-07-02,DEPOSIT,3.98,4711.9,Entertainment,0,0,1.56
TXN00000005,ACC000917,2024-04-05,WITHDRAWAL,289.37,21566.27,Grocery,0,1,21.06
TXN00000006,ACC000090,2024-05-02,TRANSFER,223.24,29373.0,Utilities,1,1,51.85
TXN00000007,ACC000511,2024-11-30,TRANSFER,69.46,45484.91,Entertainment,0,1,53.85
TXN00000008,ACC000097,2024-04-23,WITHDRAWAL,1.18,9505.55,Other,1,1,25.44
TXN00000009,ACC000466,2024-06-01,TRANSFER,549.39,40317.05,Healthcare,0,0,7.23
TXN00000010,ACC000322,2024-04-09,TRANSFER,130.87,6618.16,Other,0,1,74.46
TXN00000011,ACC000174,2024-10-01,WITHDRAWAL,52.15,12187.56,Transport,0,1,75.8
TXN00000012,ACC000957,2024-05-05,TRANSFER,38.04,12242.86,Entertainment,0,1,99.78
TXN00000013,ACC000303,2024-07-12,TRANSFER,18.66,43886.21,Other,0,1,90.0
TXN00000014,ACC000166,2024-05-13,TRANSFER,27.41,10030.98,Utilities,0,1,92.61
TXN00000015,ACC000070,2024-12-03,TRANSFER,254.28,39369.34,Utilities,1,1,79.82
TXN00000016,ACC000287,2024-01-27,PAYMENT,19.42,23144.15,Grocery,0,0,61.55
TXN00000017,ACC000591,2024-05-20,WITHDRAWAL,31.54,49954.63,Healthcare,0,1,12.85
TXN00000018,ACC000373,2024-02-12,PAYMENT,42.3,41970.67,Entertainment,0,1,62.23
TXN00000019,ACC000362,2024-03-14,PAYMENT,44.68,37011.19,Other,1,1,5.6
TXN00000020,ACC000092,2024-11-17,DEPOSIT,15.87,43549.24,Healthcare,0,1,88.53
TXN00000021,ACC000073,2024-01-12,PAYMENT,38.85,31738.12,Grocery,0,0,48.18
TXN00000022,ACC000184,2024-11-22,PAYMENT,108.49,42198.25,Transport,0,1,69.75
TXN00000023,ACC000728,2024-10-23,DEPOSIT,8.94,13130.23,Healthcare,0,1,5.22
TXN00000024,ACC000791,2024-02-22,TRANSFER,39.21,4975.39,Grocery,1,1,53.42
TXN00000025,ACC000472,2024-02-26,TRANSFER,2596.63,30835.01,Entertainment,0,1,30.13
TXN00000026,ACC000265,2024-08-23,PAYMENT,48.12,21791.05,Transport,0,1,28.5
TXN00000027,ACC000485,2024-11-01,DEPOSIT,8.49,21379.4,Utilities,0,0,38.97
TXN00000028,ACC000263,2024-03-03,TRANSFER,6.72,26384.72,Grocery,0,1,0.06
TXN00000029,ACC000782,2024-02-24,DEPOSIT,4.35,18132.99,Utilities,0,1,46.67
TXN00000030,ACC000898,2024-03-13,WITHDRAWAL,1414.08,31340.37,Transport,0,1,48.66
TXN00000031,ACC000453,2024-05-24,WITHDRAWAL,409.95,1625.36,Grocery,0,1,86.31
TXN00000032,ACC000666,2024-05-14,WITHDRAWAL,4.14,48497.58,Grocery,0,1,44.85
TXN00000033,ACC000947,2024-04-02,WITHDRAWAL,83.71,46242.98,Transport,1,1,36.36
TXN00000034,ACC000144,2024-02-17,PAYMENT,632.49,46769.98,Entertainment,0,1,99.47
TXN00000035,ACC000963,2024-02-09,WITHDRAWAL,50.35,18313.67,Grocery,0,1,57.12
TXN00000036,ACC000127,2024-09-10,WITHDRAWAL,20.43,26641.36,Transport,0,0,47.26
TXN00000037,ACC000996,2024-07-04,DEPOSIT,4826.13,47711.12,Healthcare,0,1,49.59
TXN00000038,ACC000583,2024-04-16,TRANSFER,1.21,45127.07,Utilities,0,1,80.92
TXN00000039,ACC000500,2024-07-19,DEPOSIT,10563.52,39533.2,Grocery,0,0,34.07
TXN00000040,ACC000041,2024-02-21,PAYMENT,61.56,20425.85,Healthcare,0,1,38.92
TXN00000041,ACC000373,2024-09-08,WITHDRAWAL,721.16,28260.53,Grocery,0,1,75.59
TXN00000042,ACC000880,2024-01-12,TRANSFER,4.95,39666.33,Entertainment,0,1,7.3
TXN00000043,ACC000294,2024-07-30,TRANSFER,12.79,13723.3,Transport,0,0,86.52
TXN00000044,ACC000411,2024-02-07,WITHDRAWAL,6.3,31359.82,Grocery,0,1,43.02
TXN00000045,ACC000419,2024-09-06,WITHDRAWAL,44.61,41413.92,Transport,0,1,58.13
TXN00000046,ACC000878,2024-11-16,PAYMENT,101.03,35401.99,Other,0,0,75.75
TXN00000047,ACC000635,2024-02-09,PAYMENT,461.09,24026.08,Grocery,0,1,26.61
TXN00000048,ACC000940,2024-04-17,WITHDRAWAL,1.78,29271.96,Entertainment,0,0,89.03
TXN00000049,ACC000697,2024-12-17,WITHDRAWAL,74.72,49434.91,Entertainment,0,1,97.92
TXN00000050,ACC000133,2024-08-02,WITHDRAWAL,326.95,30139.19,Healthcare,0,1,49.43
TXN00000051,ACC000452,2024-07-11,WITHDRAWAL,475.5,39302.33,Entertainment,0,0,93.69
TXN00000052,ACC000376,2024-06-09,TRANSFER,22.62,36357.58,Transport,0,0,0.11
TXN00000053,ACC000525,2024-11-20,PAYMENT,23.19,35104.38,Other,0,1,89.42
TXN00000054,ACC000866,2024-08-18,WITHDRAWAL,45.42,35846.82,Entertainment,0,1,31.1
TXN00000055,ACC000640,2024-03-23,WITHDRAWAL,79.21,22775.05,Grocery,0,0,31.15
TXN00000056,ACC000975,2024-04-02,TRANSFER,738.92,23760.59,Entertainment,1,1,22.81
TXN00000057,ACC000322,2024-06-01,DEPOSIT,4.85,23446.35,Other,0,0,31.7
TXN00000058,ACC000383,2024-01-06,WITHDRAWAL,11.33,1759.4,Transport,0,0,21.35
TXN00000059,ACC000086,2024-04-01,TRANSFER,3.81,12129.16,Grocery,0,1,90.59
TXN00000060,ACC000699,2024-12-03,TRANSFER,128.45,7812.74,Healthcare,0,1,89.9
TXN00000061,ACC000424,2024-10-17,DEPOSIT,494.1,44333.61,Healthcare,0,1,10.22
TXN00000062,ACC000519,2024-11-19,PAYMENT,3.18,13820.97,Healthcare,0,0,14.29
TXN00000063,ACC000461,2024-11-06,PAYMENT,65.2,7008.29,Grocery,0,0,86.2
TXN00000064,ACC000270,2024-01-17,PAYMENT,427.52,6076.37,Healthcare,0,1,39.89
TXN00000065,ACC000899,2024-03-01,WITHDRAWAL,262.2,35029.49,Entertainment,0,0,16.93
TXN00000066,ACC000897,2024-06-24,PAYMENT,256.08,403.56,Grocery,0,1,51.07
TXN00000067,ACC000699,2024-06-26,WITHDRAWAL,5.05,23618.09,Grocery,0,0,41.67
TXN00000068,ACC000044,2024-09-04,WITHDRAWAL,254.39,6031.67,Grocery,0,1,21.92
TXN00000069,ACC000636,2024-11-10,TRANSFER,37.64,42498.2,Utilities,0,0,72.08
TXN00000070,ACC000660,2024-11-03,PAYMENT,464.2,47926.67,Transport,0,1,63.13
TXN00000071,ACC000059,2024-10-06,PAYMENT,134.07,47941.86,Utilities,0,1,9.97
TXN00000072,ACC000759,2024-01-03,PAYMENT,10.69,22154.01,Utilities,0,1,92.54
TXN00000073,ACC000810,2024-03-22,WITHDRAWAL,95.36,32261.29,Utilities,0,0,55.85
TXN00000074,ACC000251,2024-09-24,WITHDRAWAL,280.63,30025.24,Transport,0,1,25.02
TXN00000075,ACC000717,2024-05-10,PAYMENT,19.83,17566.94,Utilities,1,0,20.63
TXN00000076,ACC000841,2024-03-03,WITHDRAWAL,70.64,22258.82,Healthcare,1,1,13.59
TXN00000077,ACC000575,2024-04-08,WITHDRAWAL,3.77,3309.75,Grocery,0,1,42.46
TXN00000078,ACC000009,2024-11-06,DEPOSIT,163.7,39805.38,Grocery,0,0,13.55
TXN00000079,ACC000159,2024-01-16,DEPOSIT,48.79,12116.1,Entertainment,1,1,41.58
TXN00000080,ACC000874,2024-10-01,PAYMENT,339.74,23080.31,Other,0,1,14.88
TXN00000081,ACC000108,2024-01-12,PAYMENT,154.74,24082.97,Healthcare,0,1,65.68
TXN00000082,ACC000298,2024-09-22,DEPOSIT,24.18,28079.52,Transport,0,1,78.52
TXN00000083,ACC000385,2024-09-19,WITHDRAWAL,10.05,40912.04,Other,0,0,54.95
TXN00000084,ACC000163,2024-03-19,WITHDRAWAL,6.34,34624.86,Grocery,0,1,68.01
TXN00000085,ACC000584,2024-04-20,TRANSFER,19.79,33186.85,Utilities,0,1,93.84
TXN00000086,ACC000409,2024-07-05,PAYMENT,321.88,26384.6,Entertainment,0,1,63.84
TXN00000087,ACC000875,2024-02-28,PAYMENT,1.63,4888.19,Entertainment,0,1,36.42
TXN00000088,ACC000075,2024-04-21,PAYMENT,6.88,20160.22,Grocery,0,1,44.95
TXN00000089,ACC000229,2024-01-16,TRANSFER,304.3,47870.11,Healthcare,0,0,86.05
TXN00000090,ACC000398,2024-06-16,TRANSFER,778.92,49777.85,Other,0,0,13.07
TXN00000091,ACC000896,2024-03-11,WITHDRAWAL,7.64,36551.86,Entertainment,0,1,32.57
TXN00000092,ACC000474,2024-04-22,DEPOSIT,6.73,11453.0,Grocery,0,1,57.73
TXN00000093,ACC000686,2024-02-12,DEPOSIT,910.8,5184.34,Healthcare,0,1,67.64
TXN00000094,ACC000096,2024-12-20,DEPOSIT,42.64,20796.74,Grocery,0,1,76.35
TXN00000095,ACC000358,2024-03-05,WITHDRAWAL,9.12,42842.94,Grocery,0,1,31.82
TXN00000096,ACC000478,2024-05-17,DEPOSIT,441.08,36121.03,Healthcare,0,1,14.59
TXN00000097,ACC000480,2024-05-20,TRANSFER,149.45,44206.22,Healthcare,0,1,95.48
TXN00000098,ACC000658,2024-09-03,TRANSFER,238.25,30827.24,Healthcare,0,0,7.64
TXN00000099,ACC000548,2024-04-12,PAYMENT,10.13,6603.39,Grocery,0,1,9.58
TXN00000100,ACC000922,2024-02-17,DEPOSIT,115.54,5828.32,Entertainment,0,0,49.49
TXN00000101,ACC000838,2024-06-27,TRANSFER,660.22,2495.31,Transport,0,0,81.93
TXN00000102,ACC000477,2024-12-28,PAYMENT,196.68,28397.29,Transport,0,1,77.45
TXN00000103,ACC000112,2024-10-09,DEPOSIT,343.69,12220.02,Grocery,0,0,93.77
TXN00000104,ACC000088,2024-11-29,DEPOSIT,903.51,36745.74,Grocery,0,0,14.16
TXN00000105,ACC000185,2024-05-30,TRANSFER,128.42,34343.87,Entertainment,0,0,37.57
TXN00000106,ACC000750,2024-08-27,PAYMENT,17.63,15973.73,Healthcare,0,0,28.21
TXN00000107,ACC000111,2024-09-10,PAYMENT,315.52,8922.4,Grocery,1,1,86.09
TXN00000108,ACC000940,2024-08-11,TRANSFER,5.98,5209.78,Utilities,0,0,48.84
TXN00000109,ACC000983,2024-09-19,TRANSFER,35.0,36892.03,Healthcare,0,1,2.68
TXN00000110,ACC000945,2024-07-23,TRANSFER,177.0,22577.01,Grocery,0,1,70.8
TXN00000111,ACC000407,2024-04-08,DEPOSIT,0.09,16244.14,Utilities,0,1,38.87
TXN00000112,ACC000787,2024-05-08,TRANSFER,90.46,42846.99,Other,0,1,53.11
TXN00000113,ACC000444,2024-03-29,TRANSFER,99.41,29721.3,Entertainment,0,1,89.38
TXN00000114,ACC000205,2024-04-11,WITHDRAWAL,5.63,25948.32,Utilities,0,0,25.67
TXN00000115,ACC000412,2024-12-17,TRANSFER,104.77,37194.62,Grocery,0,1,24.03
TXN00000116,ACC000337,2024-05-23,TRANSFER,79.83,40797.6,Transport,0,1,26.32
TXN00000117,ACC000067,2024-07-20,DEPOSIT,58.44,34335.05,Grocery,0,1,33.81
TXN00000118,ACC000325,2024-02-22,PAYMENT,589.26,22056.32,Transport,0,1,10.74
TXN00000119,ACC000351,2024-10-25,DEPOSIT,316.66,19027.01,Entertainment,0,0,69.72
TXN00000120,ACC000619,2024-10-27,WITHDRAWAL,196.36,38606.08,Entertainment,0,1,20.74
TXN00000121,ACC000498,2024-06-08,TRANSFER,7.04,25943.57,Healthcare,0,0,92.61
TXN00000122,ACC000218,2024-03-25,TRANSFER,52.74,35248.87,Healthcare,0,1,21.57
TXN00000123,ACC000720,2024-04-15,TRANSFER,583.4,44530.9,Transport,0,1,25.56
TXN00000124,ACC000760,2024-09-06,TRANSFER,35.54,45802.94,Transport,0,1,29.7
TXN00000125,ACC000488,2024-08-09,TRANSFER,1222.34,13958.01,Entertainment,0,1,76.85
TXN00000126,ACC000118,2024-08-16,TRANSFER,208.18,9475.71,Utilities,0,1,42.76
TXN00000127,ACC000286,2024-08-04,WITHDRAWAL,1667.57,13138.24,Transport,0,1,81.93
TXN00000128,ACC000466,2024-11-01,TRANSFER,6.46,37593.45,Transport,0,0,78.49
TXN00000129,ACC000040,2024-05-19,TRANSFER,40.07,18565.9,Utilities,0,1,92.95
TXN00000130,ACC000559,2024-06-12,TRANSFER,48.41,8752.13,Healthcare,0,1,75.66
TXN00000131,ACC000160,2024-11-14,WITHDRAWAL,183.52,5009.44,Healthcare,0,1,5.19
TXN00000132,ACC000972,2024-02-25,TRANSFER,12.46,16432.93,Transport,1,1,83.73
TXN00000133,ACC000482,2024-11-06,WITHDRAWAL,2.19,6893.21,Healthcare,0,1,93.81
TXN00000134,ACC000150,2024-07-15,DEPOSIT,116.33,7903.04,Healthcare,0,1,99.37
TXN00000135,ACC000656,2024-08-07,TRANSFER,26.23,34225.81,Other,0,0,12.53
TXN00000136,ACC000219,2024-04-12,PAYMENT,21.3,1084.63,Healthcare,0,1,61.33
TXN00000137,ACC000328,2024-10-17,WITHDRAWAL,13.66,5965.91,Entertainment,0,1,19.95
TXN00000138,ACC000582,2024-06-29,DEPOSIT,69.95,42233.84,Grocery,0,1,26.25
TXN00000139,ACC000033,2024-07-10,WITHDRAWAL,6.34,42261.21,Transport,0,1,74.56
TXN00000140,ACC000616,2024-11-19,WITHDRAWAL,37.03,16529.25,Transport,0,1,97.77
TXN00000141,ACC000793,2024-02-02,DEPOSIT,10.41,4488.86,Entertainment,0,1,59.49
TXN00000142,ACC000390,2024-08-18,TRANSFER,16.15,35278.02,Grocery,0,1,85.06
TXN00000143,ACC000064,2024-03-26,TRANSFER,110.79,18070.57,Grocery,0,1,0.89
