sensor_id,timestamp,temperature,humidity,pressure,light_level,motion_detected,battery_level,signal_strength,device_status
SENSOR_003,2026-01-24 09:41:09.937626,27.22,51.84,990.85,408,0,64.3,-86,Active
SENSOR_002,2026-01-24 02:43:09.937637,28.02,72.76,1017.76,107,0,95.4,-39,Active
SENSOR_037,2026-01-24 03:55:09.937640,29.81,38.88,1018.99,93,0,71.4,-83,Active
SENSOR_044,2026-01-24 05:33:09.937643,17.17,56.6,997.51,822,1,46.6,-74,Active
SENSOR_019,2026-01-24 15:11:09.937645,20.51,47.81,1008.46,83,0,20.8,-90,Active
SENSOR_015,2026-01-24 05:54:09.937647,25.54,36.21,1006.77,57,0,98.5,-37,Active
SENSOR_034,2026-01-23 22:47:09.937649,17.57,32.5,1021.1,292,0,59.4,-41,Active
SENSOR_033,2026-01-24 00:39:09.937651,20.18,57.79,997.51,15,1,95.1,-79,Active
SENSOR_011,2026-01-24 15:18:09.937653,22.97,31.04,1014.07,990,0,63.9,-56,Active
SENSOR_049,2026-01-24 05:33:09.937655,20.85,35.17,989.6,476,0,68.4,-39,Active
SENSOR_010,2026-01-23 19:36:09.937657,22.33,47.38,1016.8,837,0,77.0,-77,Active
SENSOR_050,2026-01-24 01:23:09.937658,16.27,32.18,1014.25,604,0,45.7,-43,Active
SENSOR_007,2026-01-23 21:15:09.937660,21.81,50.02,1007.89,991,1,75.9,-73,Idle
SENSOR_007,2026-01-24 10:03:09.937662,22.67,36.52,1027.28,968,0,62.1,-81,Active
SENSOR_020,2026-01-24 02:35:09.937664,30.08,47.49,986.77,164,0,73.8,-36,Active
SENSOR_048,2026-01-24 03:37:09.937666,20.66,69.56,1012.82,436,1,86.9,-76,Sleep
SENSOR_022,2026-01-24 10:04:09.937668,18.75,61.32,1024.98,726,0,34.7,-49,Idle
SENSOR_029,2026-01-23 22:28:09.937670,25.56,52.27,1014.29,655,0,69.1,-58,Error
SENSOR_032,2026-01-24 13:38:09.937671,6.13,34.59,1026.66,785,1,24.2,-72,Active
