node_id,peer_count,latency_ms,bandwidth_mbps,block_propagation_time,transactions_per_second,mempool_size,sync_status,uptime_hours,geographic_region
node_0006,7,185.08,40.77,2.06,870.41,2381,syncing,379,EU
node_0045,16,329.08,19.72,5.54,169.78,2452,synced,407,US-East
node_0035,16,460.0,46.79,9.86,225.97,4146,syncing,148,US-West
node_0036,23,425.0,67.35,8.02,632.1,2398,synced,620,US-East
node_0005,16,188.4,2.97,5.4,793.67,2914,synced,90,Asia
node_0012,15,144.06,53.47,4.31,120.46,113,synced,523,Oceania
node_0020,16,10.62,75.81,1.37,54.3,1556,syncing,658,US-East
node_0041,20,303.34,5.5,3.58,748.59,2200,synced,183,US-East
node_0015,9,332.07,27.39,2.12,984.6,2744,syncing,355,US-West
node_0008,15,443.25,49.18,6.57,143.61,2626,synced,109,Asia
node_0045,2,312.25,36.84,7.33,979.77,115,synced,560,EU
node_0030,25,179.65,81.6,4.29,794.9,862,syncing,139,US-West
node_0046,25,68.56,60.5,0.66,207.14,3088,synced,119,US-East
node_0008,19,405.35,28.4,2.96,884.14,1517,synced,226,EU
node_0021,8,215.8,51.08,2.45,626.01,2515,synced,713,US-West
node_0016,16,50.76,2.28,4.56,695.83,4500,syncing,613,EU
node_0005,6,231.18,2.33,4.12,196.67,230,synced,376,Asia
node_0007,4,466.19,14.05,5.48,152.89,2679,syncing,494,Oceania
node_0033,6,296.66,48.25,8.04,678.02,3959,synced,517,Oceania
node_0041,5,130.25,54.84,3.4,259.23,4198,synced,566,EU
node_0017,13,433.92,22.83,2.1,857.8,3196,synced,277,EU
node_0046,13,116.08,13.3,7.87,52.83,1614,syncing,283,US-West
node_0023,14,359.62,66.85,1.94,203.37,4078,synced,17,EU
node_0031,13,167.6,33.35,6.84,308.88,3944,synced,586,Oceania
node_0017,7,178.08,90.02,1.71,553.02,78,syncing,630,US-East
node_0017,6,103.54,18.23,3.77,979.1,3090,syncing,379,Oceania
node_0019,14,302.76,64.42,1.47,52.35,4300,syncing,310,EU
node_0035,25,452.34,66.72,7.61,175.69,457,syncing,272,EU
node_0020,10,61.82,63.44,1.98,844.37,3815,synced,363,US-West
node_0024,15,107.2,54.48,9.96,233.43,4626,syncing,523,Asia
node_0036,8,301.84,18.33,3.88,657.7,4981,syncing,468,US-West
node_0042,24,207.61,26.33,4.68,908.71,335,synced,489,EU
node_0042,6,179.32,21.14,1.09,737.5,659,synced,8,Asia
node_0031,24,14.28,75.19,6.19,803.77,1466,synced,624,US-East
node_0001,8,12.8,69.27,6.71,84.17,2141,synced,221,EU
node_0039,22,89.11,14.03,9.76,720.36,3075,synced,494,Asia
node_0046,8,332.72,19.02,4.86,576.6,2625,syncing,325,Asia
node_0000,14,242.45,12.04,5.97,156.42,3758,synced,70,EU
node_0028,25,438.57,47.44,0.98,702.82,62,synced,476,US-East
node_0047,15,54.72,82.92,8.64,583.89,3706,syncing,327,Oceania
node_0004,24,397.81,61.63,9.63,805.37,3404,syncing,99,EU
node_0042,23,129.41,83.7,7.47,781.33,1328,synced,238,US-East
node_0002,6,450.86,63.72,4.03,150.89,4062,synced,566,Asia
node_0040,13,292.55,90.09,9.97,473.69,1122,synced,258,Oceania
node_0007,18,199.1,21.79,4.5,965.59,3840,synced,40,EU
node_0040,22,392.37,81.55,9.03,393.35,812,syncing,245,EU
node_0038,2,294.05,5.86,5.59,191.56,2686,synced,480,US-East
node_0034,25,364.15,1.98,3.37,448.38,167,synced,54,US-West
node_0034,9,249.32,55.36,2.91,230.68,758,synced,629,US-East
node_0048,8,390.68,68.04,5.48,498.88,1351,synced,592,Oceania
node_0032,15,454.55,65.23,9.05,742.03,3249,synced,48,US-West
node_0016,3,446.93,59.46,4.94,637.63,1046,syncing,288,Asia
node_0006,6,168.14,28.85,5.07,949.77,889,synced,42,EU
node_0043,11,72.81,18.82,4.18,818.54,2207,synced,342,Asia
node_0027,22,81.27,61.07,1.21,65.37,4504,syncing,275,EU
node_0044,5,338.69,11.89,1.92,893.33,4744,syncing,217,US-West
node_0030,13,349.3,42.46,2.11,426.05,1492,syncing,535,Asia
node_0024,9,32.28,78.18,4.28,85.68,4752,syncing,603,Asia
node_0026,3,434.76,72.77,3.01,412.44,734,syncing,622,EU
node_0000,17,230.67,80.87,6.9,584.12,3120,synced,565,EU
node_0049,19,297.46,79.54,5.69,215.06,3344,syncing,188,Oceania
node_0046,17,106.09,51.08,0.56,505.14,4518,syncing,260,Oceania
node_0018,16,394.57,86.98,4.01,180.67,4009,syncing,169,Oceania
node_0002,1,400.57,20.65,7.73,118.55,2556,synced,55,US-East
node_0041,20,95.71,22.93,1.08,318.08,1899,synced,215,US-East
node_0031,25,490.64,82.35,2.46,90.07,3356,synced,138,Asia
node_0020,21,394.87,88.44,8.1,84.41,2308,synced,537,US-East
node_0047,13,146.98,54.87,1.77,10.31,1960,syncing,96,Asia
node_0032,13,40.83,69.57,1.49,47.2,2092,syncing,42,Oceania
node_0014,15,196.79,25.24,6.62,652.74,4037,syncing,295,EU
node_0034,20,48.05,41.29,0.84,663.17,152,synced,586,EU
node_0015,9,198.88,57.64,8.26,275.68,2850,syncing,502,US-West
node_0011,9,76.19,10.91,9.74,58.9,2560,synced,415,US-West
