packet_id,timestamp,source_ip,dest_ip,source_port,dest_port,protocol,packet_size,ttl,flags
1,2026-01-24 10:02:24.899945,90.88.235.234,56.119.148.251,56450,80,HTTPS,207,48,RST
2,2026-01-24 09:25:10.899963,146.175.181.174,59.0.60.7,44384,3306,UDP,79,69,PSH
3,2026-01-24 05:56:25.899968,184.135.247.50,129.60.106.205,27843,9000,TCP,1389,45,RST
4,2026-01-24 12:31:49.899970,73.142.152.58,167.212.211.12,37656,80,HTTP,486,118,SYN
5,2026-01-23 20:12:13.899972,86.147.106.177,95.179.108.3,27539,8080,ICMP,308,120,RST
6,2026-01-24 17:47:58.899975,190.250.162.123,173.103.144.66,63393,80,TCP,990,110,ACK
7,2026-01-24 07:48:27.899977,99.140.147.32,27.157.153.130,25241,5432,TCP,1194,87,PSH
8,2026-01-24 12:38:05.899979,156.194.202.210,150.165.3.30,61437,3306,HTTPS,1175,53,ACK
9,2026-01-24 13:10:11.899980,98.74.148.11,185.170.174.102,24196,22,HTTPS,192,98,SYN
10,2026-01-23 22:14:02.899982,83.40.177.237,155.14.89.50,34018,22,HTTPS,970,87,PSH
11,2026-01-24 08:46:36.899984,123.131.245.55,94.173.245.235,16060,3306,HTTP,950,50,FIN
12,2026-01-24 11:32:58.899986,61.138.139.36,131.18.69.124,12763,5432,HTTPS,404,88,RST
13,2026-01-24 13:54:01.899988,37.122.124.13,49.235.171.119,33244,443,TCP,67,75,ACK
14,2026-01-24 16:57:50.899989,181.115.119.14,115.28.153.145,50440,80,HTTPS,1414,66,SYN
15,2026-01-24 13:06:14.899991,35.211.169.184,183.161.9.54,10611,5432,UDP,1497,32,FIN
16,2026-01-24 17:21:42.899993,130.51.70.2,157.169.181.17,45541,8080,HTTPS,369,83,RST
17,2026-01-24 04:51:34.899994,150.80.208.168,48.143.15.87,31153,9000,HTTP,971,116,FIN
18,2026-01-24 09:14:23.899996,131.244.102.194,106.84.199.48,1669,3306,UDP,670,124,RST
19,2026-01-23 20:27:47.899998,83.164.146.166,162.59.157.181,31954,80,TCP,1312,101,PSH
20,2026-01-24 06:06:52.900000,25.45.118.137,90.16.139.106,17323,22,TCP,1435,68,FIN
21,2026-01-24 17:19:41.900001,19.89.213.226,32.254.121.96,57720,9000,ICMP,1055,96,FIN
22,2026-01-24 11:33:31.900003,55.18.203.202,125.154.110.135,31114,443,UDP,384,82,FIN
23,2026-01-24 08:14:27.900005,136.95.148.225,87.89.57.96,22977,8080,ICMP,622,32,PSH
24,2026-01-24 15:59:41.900006,19.4.152.146,19.103.47.114,53166,22,UDP,1268,122,SYN
25,2026-01-24 13:17:15.900008,164.54.171.73,139.12.247.232,47467,3306,UDP,681,52,RST
26,2026-01-24 02:34:33.900010,126.252.68.218,138.78.97.88,27499,80,HTTP,774,84,FIN
27,2026-01-23 22:44:54.900012,139.239.139.50,133.158.167.37,19912,3306,ICMP,1473,47,PSH
28,2026-01-24 13:45:53.900013,38.169.83.188,35.67.105.186,44756,9000,HTTP,1195,92,SYN
29,2026-01-24 15:35:19.900015,127.131.95.4,19.235.198.183,17111,80,UDP,594,85,RST
30,2026-01-24 00:33:47.900017,96.151.98.45,143.59.2.80,47329,5432,TCP,473,71,PSH
31,2026-01-24 01:34:53.900019,166.207.218.132,21.44.170.120,47061,443,UDP,1383,57,RST
32,2026-01-24 04:43:16.900020,93.44.205.172,21.52.159.6,10370,5432,HTTP,881,111,FIN
33,2026-01-23 23:12:58.900022,34.94.71.123,157.159.107.83,1611,5432,ICMP,1258,123,SYN
34,2026-01-23 20:17:17.900024,92.127.3.67,61.98.146.71,13787,3306,ICMP,1418,96,PSH
35,2026-01-24 13:55:56.900025,108.120.228.193,146.163.225.172,60189,9000,HTTP,556,105,SYN
36,2026-01-24 01:26:44.900027,78.168.154.150,40.139.76.41,42969,443,ICMP,1282,95,FIN
37,2026-01-23 23:33:30.900029,156.5.133.168,80.58.7.246,5103,80,HTTPS,75,74,SYN
38,2026-01-24 09:50:11.900030,102.120.31.171,169.52.105.139,37140,80,TCP,258,48,SYN
39,2026-01-23 19:30:26.900032,40.238.157.41,99.163.138.37,56475,8080,TCP,553,90,ACK
40,2026-01-24 16:19:26.900034,113.159.60.164,190.145.125.44,21239,22,TCP,858,54,SYN
41,2026-01-23 17:54:46.900035,85.188.113.57,28.159.173.139,26841,8080,ICMP,944,38,RST
42,2026-01-23 22:55:02.900038,44.244.78.117,123.25.66.8,25789,8080,ICMP,245,75,PSH
43,2026-01-24 06:55:14.900039,165.191.212.180,130.25.54.99,31136,80,UDP,1025,84,ACK
44,2026-01-24 01:13:33.900041,150.241.111.196,23.44.218.101,26580,3306,UDP,719,102,PSH
45,2026-01-23 18:28:46.900042,73.41.228.136,55.228.182.80,60066,5432,TCP,1403,110,PSH
46,2026-01-24 16:46:07.900044,190.185.39.235,95.101.40.250,19123,9000,HTTPS,757,65,FIN
47,2026-01-24 15:41:17.900046,154.57.31.213,129.67.47.209,44577,5432,UDP,93,77,FIN
48,2026-01-24 00:27:48.900048,150.103.76.43,188.239.49.117,46120,5432,UDP,1183,99,ACK
49,2026-01-24 03:16:49.900049,93.226.59.175,89.238.240.60,7474,443,ICMP,1468,109,FIN
50,2026-01-24 02:22:57.900051,62.250.46.231,67.73.132.234,14254,80,HTTPS,841,109,FIN
51,2026-01-24 13:58:19.900053,140.228.28.117,103.200.93.180,30033,9000,TCP,507,47,FIN
52,2026-01-24 00:03:09.900054,43.212.233.145,180.169.166.117,6457,3306,UDP,361,102,PSH
53,2026-01-24 01:45:11.900056,24.236.157.186,134.15.33.122,34890,443,HTTPS,871,127,ACK
54,2026-01-24 15:13:37.900058,15.202.130.210,38.179.245.119,40888,22,HTTPS,908,50,PSH
55,2026-01-24 14:57:40.900060,10.111.37.12,53.144.178.155,19734,3306,TCP,1079,33,RST
56,2026-01-24 06:10:30.900061,118.176.32.139,157.65.52.104,12463,8080,HTTPS,1448,41,PSH
57,2026-01-23 19:45:19.900063,25.35.241.9,192.54.166.143,42879,3306,HTTPS,1461,81,RST
58,2026-01-24 12:30:07.900065,83.209.92.197,176.36.154.137,17045,3306,HTTPS,617,112,SYN
59,2026-01-24 15:30:40.900066,44.215.191.229,128.205.211.62,7440,5432,UDP,366,43,SYN
60,2026-01-24 13:18:29.900068,107.229.193.97,168.124.81.250,8004,3306,TCP,484,101,RST
61,2026-01-24 07:53:23.900070,30.68.178.31,133.196.33.88,56939,8080,HTTPS,1333,53,RST
62,2026-01-23 19:10:19.900071,55.201.65.187,63.220.222.146,19082,8080,HTTPS,1324,63,PSH
63,2026-01-23 18:51:11.900073,67.1.11.251,97.120.88.170,12125,80,UDP,248,115,RST
64,2026-01-23 20:35:25.900075,86.237.217.137,181.39.249.30,41742,3306,TCP,531,32,ACK
65,2026-01-23 21:56:15.900076,107.117.126.118,161.237.166.143,33626,5432,ICMP,817,85,SYN
66,2026-01-24 06:03:47.900078,98.79.141.49,34.227.90.79,10146,3306,UDP,426,89,SYN
67,2026-01-24 04:02:04.900080,38.16.214.158,113.35.55.176,13600,22,TCP,1370,101,RST
68,2026-01-23 20:09:08.900082,14.123.105.18,162.194.167.127,59091,22,HTTPS,399,114,FIN
69,2026-01-23 22:35:08.900083,35.17.228.154,175.31.46.56,28540,5432,TCP,225,49,FIN
