experiment_id,technique,privacy_score,execution_time_seconds,anonymity_set_size,throughput_tps,storage_overhead_mb,computation_cost,accuracy
exp_00000,smpc,72.93,6.343,13,108.43,5.18,9.4239,0.9789
exp_00001,smpc,78.74,7.153,20,345.99,30.98,0.6133,0.9934
exp_00002,mixer,86.24,26.537,48,45.11,64.77,2.1303,0.9626
exp_00003,zkp,91.67,4.066,1,410.27,93.42,6.2659,0.9901
exp_00004,smpc,86.9,3.702,6,91.38,44.71,4.8196,0.97
exp_00005,ring_signature,61.03,0.861,44,626.79,67.82,7.9787,0.972
exp_00006,zkp,91.81,2.084,1,123.04,32.7,7.8464,0.9639
exp_00007,zkp,95.08,4.207,1,254.48,34.1,3.0489,0.9651
exp_00008,tee,89.48,1.254,1,843.68,8.92,0.3308,0.9801
exp_00009,mixer,85.72,19.889,14,37.08,58.44,2.847,0.9941
exp_00010,smpc,83.09,1.392,11,46.77,19.93,0.9235,0.9946
exp_00011,smpc,82.99,3.902,4,62.31,16.92,0.0833,0.957
exp_00012,zkp,96.86,0.908,1,582.32,94.81,0.8992,0.9826
exp_00013,zkp,94.07,4.176,1,899.86,99.36,8.6342,0.9772
exp_00014,zkp,95.55,2.884,1,345.55,38.44,3.1505,0.9955
exp_00015,smpc,73.08,8.809,6,642.45,31.01,5.6931,0.9962
exp_00016,zkp,92.31,4.771,1,34.48,79.07,8.9645,0.9596
exp_00017,tee,95.56,0.206,1,221.6,39.46,6.0002,0.9573
exp_00018,mixer,64.87,22.377,85,812.16,55.81,8.942,0.9683
exp_00019,ring_signature,85.5,0.351,41,480.71,17.16,1.4531,0.9922
exp_00020,tee,96.35,0.854,1,597.45,95.17,6.516,0.9939
exp_00021,mixer,63.2,7.266,45,352.75,75.91,7.6578,0.9539
exp_00022,ring_signature,65.72,1.664,22,362.16,43.86,2.2525,0.9588
exp_00023,mixer,78.21,28.079,39,936.33,24.71,6.4413,0.9792
exp_00024,tee,88.44,0.429,1,491.42,9.7,5.7918,0.9519
exp_00025,ring_signature,93.22,0.749,33,987.69,44.91,9.6281,0.9907
