user_id,transaction_count,total_volume,avg_transaction_size,active_days,peak_hour,preferred_gas_price,contract_interactions,token_types_used,privacy_score,risk_score,account_age_days
user_5feceb66ffc86f38,119,8762.72,53.86,29,18,21.47,49,9,0.003,0.704,842
user_6b86b273ff34fce1,163,4180.04,86.02,205,15,20.66,49,7,0.975,0.064,760
user_d4735e3a265e16ee,67,7178.19,82.8,131,8,44.15,98,9,0.448,0.091,441
user_4e07408562bedb8b,154,7535.5,20.65,93,4,4.03,51,9,0.103,0.718,897
user_4b227777d4dd1fc6,82,1871.39,57.76,219,10,29.88,17,15,0.266,0.839,137
user_ef2d127de37b942b,175,1588.32,64.38,192,10,17.02,63,4,0.591,0.77,730
user_e7f6c011776e8db7,112,2297.97,90.89,364,11,12.4,84,1,0.307,0.796,686
user_7902699be42c8a8e,14,215.54,95.14,160,9,47.82,76,13,0.978,0.808,782
user_2c624232cdd22177,12,3730.49,98.11,156,1,49.25,30,12,0.014,0.478,136
user_19581e27de7ced00,134,6227.34,42.05,103,22,41.81,61,4,0.63,0.104,523
user_4a44dc15364204a8,132,2805.45,10.13,198,10,31.06,49,1,0.207,0.963,857
user_4fc82b26aecb47d2,19,5304.72,72.17,299,20,15.81,71,20,0.102,0.672,316
user_6b51d431df5d7f14,180,4370.84,81.58,258,17,4.66,4,17,0.397,0.699,41
user_3fdba35f04dc8c46,124,3917.27,79.52,242,5,18.82,29,6,0.896,0.741,507
user_8527a891e2241369,39,3543.7,42.33,317,18,36.93,22,11,0.101,0.536,620
user_e629fa6598d73276,25,1320.46,44.91,246,9,2.44,33,10,0.406,0.838,740
user_b17ef6d19c7a5b1e,82,4225.52,95.69,282,7,6.79,4,10,0.999,0.433,385
user_4523540f1504cd17,187,7331.38,32.68,197,0,15.67,28,10,0.97,0.976,897
user_4ec9599fc203d176,97,1994.72,37.84,105,11,35.02,56,14,0.397,0.842,458
user_9400f1b21cb527d7,92,5980.88,35.55,212,13,41.37,14,3,0.31,0.515,370
user_f5ca38f748a1d6ea,65,2427.24,61.46,93,13,48.26,98,5,0.932,0.564,128
user_6f4b6612125fb3a0,24,7087.81,0.82,73,2,17.7,13,1,0.672,0.115,977
user_785f3ec7eb32f30b,13,8501.43,13.92,218,6,28.95,20,12,0.963,0.775,260
user_535fa30d7e25dd8a,121,3449.41,70.89,7,13,11.05,17,16,0.224,0.757,875
user_c2356069e9d1e79c,108,9116.08,68.7,24,14,11.76,33,3,0.589,0.15,828
user_b7a56873cd771f2c,51,1881.21,55.32,99,12,44.13,50,10,0.634,0.001,563
user_5f9c4ab08cac7457,54,6346.71,5.58,329,15,18.79,51,7,0.359,0.344,7
user_670671cd97404156,118,9140.83,91.7,37,9,42.93,19,15,0.769,0.011,713
user_59e19706d51d39f6,83,1862.52,61.28,229,14,27.5,82,16,0.437,0.134,261
user_35135aaa6cc23891,61,2988.35,40.19,339,5,47.38,99,20,0.053,0.022,506
user_624b60c58c9d8bfb,176,6236.57,42.27,156,1,4.01,91,14,0.546,0.265,993
user_eb1e33e8a81b697b,44,3339.26,7.64,165,11,29.41,28,2,0.608,0.63,975
user_e29c9c180c6279b0,124,3321.4,47.83,86,13,6.72,71,7,0.168,0.377,557
user_c6f3ac57944a5314,70,2885.9,58.53,355,18,31.08,51,17,0.688,0.061,615
user_86e5014965866131,58,4911.42,32.17,48,19,31.51,32,13,0.173,0.275,759
user_9f14025af0065b30,152,2472.65,76.23,197,4,22.03,4,3,0.717,0.673,985
user_76a50887d8f1c2e9,178,6806.14,17.24,316,17,16.28,98,7,0.058,0.866,205
user_7a61b53701befdae,76,7196.84,23.01,92,17,42.83,99,12,0.393,0.913,220
user_aea92132c4cbeb26,55,2797.65,11.56,278,16,23.28,68,5,0.017,0.955,487
user_0b918943df0962bc,176,7823.44,89.57,69,4,32.8,67,10,0.033,0.385,151
user_d59eced1ded07f84,59,7011.71,47.13,157,6,28.48,54,13,0.863,0.272,938
user_3d914f9348c9cc0f,139,9577.3,60.73,218,12,30.51,88,1,0.723,0.674,588
user_73475cb40a568e8d,152,2282.87,21.88,102,14,13.59,13,3,0.191,0.426,167
user_44cb730c420480a0,24,8918.11,75.64,240,16,39.0,72,17,0.43,0.293,762
user_71ee45a3c0db9a98,96,7394.44,8.8,315,22,47.94,60,3,0.06,0.95,347
user_811786ad1ae74adf,147,9676.22,27.41,221,17,31.25,39,4,0.698,0.063,825
user_25fc0e7096fc6537,36,4675.54,28.63,89,5,17.05,30,1,0.645,0.894,205
user_31489056e0916d59,15,6986.23,75.47,30,22,47.17,54,8,0.439,0.972,352
user_98010bd9270f9b10,77,3959.25,91.2,294,12,46.27,81,14,0.44,0.955,899
user_0e17daca5f3e175f,154,2326.51,63.46,224,8,43.96,52,8,0.366,0.259,935
user_1a6562590ef19d10,50,6202.34,45.0,202,20,28.92,24,3,0.267,0.762,347
user_031b4af5197ec30a,23,6812.31,42.0,13,8,31.85,1,16,0.806,0.818,688
user_41cfc0d1f2d127b0,164,487.67,38.38,23,19,24.16,23,11,0.083,0.076,340
user_2858dcd1057d3eae,177,2279.57,46.31,41,19,21.73,16,9,0.676,0.983,561
user_2fca346db6561871,168,1214.56,17.75,346,3,6.66,75,5,0.772,0.365,70
user_02d20bbd7e394ad5,135,9792.64,16.06,138,12,21.93,33,12,0.219,0.307,734
user_7688b6ef52555962,111,5961.81,95.65,144,10,15.05,6,12,0.806,0.568,751
user_c837649cce43f272,156,3341.45,55.45,129,16,15.29,91,11,0.512,0.132,98
user_6208ef0f7750c111,98,7903.43,63.8,73,15,40.91,3,1,0.029,0.378,275
user_3e1e967e9b793e90,72,3872.86,13.86,129,21,2.84,71,10,0.973,0.844,718
user_39fa9ec190eee7b6,70,3419.84,65.45,41,6,27.42,74,20,0.159,0.703,53
user_d029fa3a95e174a1,165,4454.01,88.85,233,9,45.46,44,11,0.189,0.453,111
user_81b8a03f97e8787c,88,901.55,96.14,342,6,14.21,61,1,0.4,0.718,556
user_da4ea2a5506f2693,85,1585.42,88.72,110,11,2.72,48,11,0.204,0.533,689
user_a68b412c4282555f,105,4199.56,27.12,216,17,29.21,61,13,0.44,0.127,223
user_108c995b953c8a35,105,1252.21,73.73,6,18,44.62,79,11,0.941,0.123,614
user_3ada92f28b4ceda3,125,6032.78,39.06,155,2,34.18,33,4,0.097,0.769,701
user_49d180ecf5613281,52,8324.37,4.02,319,4,44.0,33,11,0.074,0.501,252
user_a21855da08cb102d,127,2729.1,26.83,247,22,30.29,72,15,0.373,0.018,663
user_c75cb66ae28d8ebc,33,4407.91,49.48,313,3,12.09,43,8,0.765,0.093,365
user_ff5a1ae012afa5d4,151,7739.66,19.5,111,6,12.19,9,13,0.184,0.666,14
user_7f2253d7e228b22a,27,403.52,53.59,178,0,14.49,56,14,0.925,0.325,115
user_8722616204217edd,41,9818.81,26.76,179,21,20.08,8,3,0.258,0.969,910
user_96061e92f58e4bdc,158,6861.31,73.26,291,19,26.24,33,12,0.072,0.66,888
user_eb624dbe56eb6620,114,4066.25,5.51,9,0,31.34,32,13,0.77,0.446,271
user_f369cb89fc627e66,123,7587.97,0.95,288,23,13.6,57,8,0.008,0.494,147
user_f74efabef12ea619,186,4286.91,13.78,328,15,17.94,54,14,0.503,0.816,217
user_a88a7902cb4ef697,133,5787.04,0.27,252,20,48.93,85,1,0.628,0.974,840
user_349c41201b62db85,109,8034.01,0.81,191,4,26.47,0,18,0.786,0.603,451
user_98a3ab7c340e8a03,62,1420.53,52.37,278,10,29.36,6,17,0.097,0.437,802
user_48449a14a4ff7d79,159,1371.53,95.06,22,22,14.28,27,13,0.424,0.244,438
user_5316ca1c5ddca8e6,142,7913.74,89.81,106,6,19.75,0,1,0.426,0.712,411
user_a46e37632fa6ca51,93,889.29,10.45,58,17,15.43,59,2,0.816,0.557,31
