user_id,session_id,login_time,pages_visited,session_duration_minutes,clicks,purchases,cart_value,device_type,browser,location
USER000001,fce4a3076d76,2026-01-15 22:54:09.919369,38,11.45,25,0,17.54,Mobile,Firefox,CA
USER000002,f87233ca9147,2026-01-16 21:54:09.919388,4,19.83,20,0,68.73,Desktop,Firefox,FR
USER000003,a063f7099fd8,2026-01-24 14:54:09.919391,42,10.47,19,1,68.65,Desktop,Edge,JP
USER000004,f77e08834dc2,2026-01-17 22:54:09.919393,18,8.98,19,1,32.04,Desktop,Edge,IN
USER000005,2238f66b4f02,2025-12-31 08:54:09.919395,44,0.79,19,2,102.81,Desktop,Firefox,DE
USER000006,08c6f6ce4a8d,2026-01-15 10:54:09.919398,48,10.07,19,2,181.93,Tablet,Safari,DE
USER000007,c7e2511aabbd,2025-12-30 11:54:09.919400,25,24.22,19,1,26.12,Desktop,Safari,JP
USER000008,5a4ad988760d,2025-12-26 00:54:09.919402,7,0.05,18,2,174.56,Mobile,Safari,AU
USER000009,7556ee35ca62,2026-01-24 08:54:09.919404,38,9.99,28,2,49.44,Tablet,Chrome,JP
USER000010,a8be70d9aaf6,2026-01-02 20:54:09.919406,28,63.96,34,2,185.81,Mobile,Edge,AU
USER000011,66a34e1b02a4,2026-01-05 07:54:09.919408,5,27.02,24,3,71.33,Desktop,Firefox,IN
USER000012,91bfa90a438f,2026-01-03 06:54:09.919410,3,28.08,21,0,69.21,Mobile,Chrome,AU
USER000013,dbf5a15c4312,2026-01-02 08:54:09.919412,44,15.49,17,1,54.43,Desktop,Safari,FR
USER000014,75cc6961a211,2026-01-13 16:54:09.919414,31,33.85,19,1,95.38,Desktop,Chrome,US
USER000015,6d174d7e13f5,2026-01-11 19:54:09.919415,47,6.32,20,0,91.51,Mobile,Firefox,AU
USER000016,64c7c59331b5,2026-01-15 08:54:09.919417,42,51.24,20,2,82.39,Mobile,Firefox,UK
USER000017,7e6c3f26a195,2026-01-12 02:54:09.919419,20,3.72,19,1,76.43,Mobile,Edge,AU
USER000018,28f81c33e23c,2026-01-13 07:54:09.919421,19,32.01,17,1,35.84,Tablet,Safari,UK
USER000019,ddff19ca81ab,2026-01-01 04:54:09.919423,48,12.52,25,1,126.67,Mobile,Safari,CA
USER000020,88e3915097a3,2026-01-19 16:54:09.919425,11,41.29,17,1,120.62,Mobile,Chrome,US
USER000021,07d4ce213e88,2026-01-17 10:54:09.919426,40,23.94,22,2,69.69,Mobile,Safari,US
USER000022,7ebff94646d5,2026-01-15 04:54:09.919428,3,18.06,16,2,21.76,Desktop,Chrome,IN
USER000023,49415c4534bb,2026-01-22 19:54:09.919430,23,5.57,23,0,36.27,Desktop,Firefox,FR
USER000024,06a709c210d6,2026-01-01 23:54:09.919432,7,30.39,24,0,140.43,Mobile,Firefox,JP
USER000025,388ebd9cf9ff,2026-01-14 14:54:09.919434,23,110.39,18,0,28.32,Mobile,Firefox,FR
USER000026,6cf7799215af,2026-01-12 07:54:09.919435,7,52.39,23,0,97.17,Desktop,Firefox,DE
USER000027,67c8a1138b25,2026-01-23 01:54:09.919437,46,1.86,24,3,112.65,Desktop,Firefox,CA
